x,z,erosion,U,βz,h_wb,slope
305.0,1975.8772727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
310.0,1975.4818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
315.0,1975.0863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
320.0,1974.6909090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
325.0,1974.2954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
330.0,1973.9,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
335.0,1973.5045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
340.0,1973.1090909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
345.0,1972.7136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
350.0,1972.3181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
355.0,1971.9227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
360.0,1971.5272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
365.0,1971.1318181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
370.0,1970.7363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
375.0,1970.340909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
380.0,1969.9454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
385.0,1969.55,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
390.0,1969.1545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
395.0,1968.759090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
400.0,1968.3636363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
405.0,1967.9681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
410.0,1967.5727272727272,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
415.0,1967.1772727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
420.0,1966.7818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
425.0,1966.3863636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
430.0,1965.990909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
435.0,1965.5954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
440.0,1965.2,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
445.0,1964.8045454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
450.0,1964.409090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
455.0,1964.0136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
460.0,1963.6181818181817,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
465.0,1963.2227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
470.0,1962.8272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
475.0,1962.4318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
480.0,1962.0363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
485.0,1961.6409090909092,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
490.0,1961.2454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
495.0,1960.85,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
500.0,1960.4545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
505.0,1960.0590909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
510.0,1959.6636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
515.0,1959.2681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
520.0,1958.8727272727274,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
525.0,1958.4772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
530.0,1958.081818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
535.0,1957.6863636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
540.0,1957.290909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
545.0,1956.8954545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
550.0,1956.5,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
555.0,1956.1045454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
560.0,1955.709090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
565.0,1955.3136363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
570.0,1954.918181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
575.0,1954.5227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
580.0,1954.1272727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
585.0,1953.7318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
590.0,1953.3363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
595.0,1952.9409090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
600.0,1952.5454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
605.0,1952.15,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
610.0,1951.7545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
615.0,1951.3590909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
620.0,1950.9636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
625.0,1950.5681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
630.0,1950.1727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
635.0,1949.7772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
640.0,1949.3818181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
645.0,1948.9863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
650.0,1948.590909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
655.0,1948.1954545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
660.0,1947.8,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
665.0,1947.4045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
670.0,1947.009090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
675.0,1946.6136363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
680.0,1946.2181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
685.0,1945.8227272727272,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
690.0,1945.4272727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
695.0,1945.0318181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
700.0,1944.6363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
705.0,1944.240909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
710.0,1943.8454545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
715.0,1943.45,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
720.0,1943.0545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
725.0,1942.659090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
730.0,1942.2636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
735.0,1941.8681818181817,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
740.0,1941.4727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
745.0,1941.0772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
750.0,1940.6818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
755.0,1940.2863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
760.0,1939.8909090909092,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
765.0,1939.4954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
770.0,1939.1,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
775.0,1938.7045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
780.0,1938.3090909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
785.0,1937.9136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
790.0,1937.5181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
795.0,1937.1227272727274,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
800.0,1936.7272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
805.0,1936.331818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
810.0,1935.9363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
815.0,1935.540909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
820.0,1935.1454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
825.0,1934.75,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
830.0,1934.3545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
835.0,1933.959090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
840.0,1933.5636363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
845.0,1933.168181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
850.0,1932.7727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
855.0,1932.3772727272726,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
860.0,1931.9818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
865.0,1931.5863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
870.0,1931.1909090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
875.0,1930.7954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
880.0,1930.4,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
885.0,1930.0045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
890.0,1929.6090909090908,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
895.0,1929.2136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
900.0,1928.8181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
905.0,1928.4227272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
910.0,1928.0272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
915.0,1927.6318181818183,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
920.0,1927.2363636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
925.0,1926.840909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
930.0,1926.4454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
935.0,1926.05,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
940.0,1925.6545454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
945.0,1925.259090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
950.0,1924.8636363636365,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
955.0,1924.4681818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
960.0,1924.0727272727272,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
965.0,1923.6772727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
970.0,1923.2818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
975.0,1922.8863636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
980.0,1922.490909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
